reiserfsprogs 3.6.27-3
rkhunter 1.4.6-2
rp-pppoe 3.15-2
rsync 3.2.6-2
rtl88x2bu-dkms-git 5.13.1.r175.3a1ecfe-1
rustup 1.25.1-1
s-nail 14.9.24-1
samba 4.17.0-2
sddm-kcm 5.26.0-1
sed 4.8-1
sg3_utils 1.47-1
smartmontools 7.3-1
smplayer 22.7.0-1
sof-firmware 2.2.2-1
solid 5.99.0-1
spectacle 22.08.2-1
sshfs 3.7.3-1
steam 1.0.0.75-1
sudo 1.9.11.p3-1
syncthing 1.22.0-1
sysfsutils 2.1.1-1
systemd-sysvcompat 251.6-1
terminator 2.1.1-3
texinfo 6.8-2
tilde 1.1.3-1
tldr 3.1.0-2
tmux 3.3_a-2
traceroute 2.1.0-5
ttf-bitstream-vera 1.10-14
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-liberation 2.1.5-1
ttf-opensans 1.101-2
unrar 1:6.1.7-1
unzip 6.0-19
upower 1.90.0-1
usb_modeswitch 2.6.1-3
usbutils 014-2
visual-studio-code-bin 1.71.2-1
vpnc 1:0.5.3.r506.r204-1
webcamoid 9.0.0-2
welcome 3.40-2
wget 1.21.3-1
which 2.21-5
whois 5.5.13-2
wireless-regdb 2022.08.12-1
wireless_tools 30.pre9-3
wireplumber 0.4.12-1
wpa_supplicant 2:2.10-5
xbindkeys 1.8.7-3
xbindkeys_config-gtk2 0.1.4-1
xdg-user-dirs 0.18-1
xdg-utils 1.1.3+21+g1a58bc2-2
xf86-input-libinput 1.2.1-1
xfsprogs 5.19.0-1
xl2tpd 1.3.17-1
xmonad-contrib-git v0.17.1.r34.gc3ea62c9-1
xmonad-git v0.17.1.r9.ga2259bb-1
xorg-server 21.1.4-1
xorg-xdpyinfo 1.3.3-4
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-3
xorg-xkill 1.0.5-3
xorg-xrandr 1.5.1-2
xsettingsd 1.0.2-1
xterm 374-1
xvkbd 4.1-1
yad-eos 12.0-1.4
yadm 3.2.1-1
yakuake 22.08.2-1
yarn 1.22.19-1
yay 11.3.0-1
youtube-dl 2021.12.17-1
yt-dlp 2022.10.04-1
zettlr 2.3.0-1
zsh 5.9-1
zsh-theme-powerlevel10k-git r4076.8091c8a3-1
