acpi 1.7-3
squashfs-tools 4.5.1-2
sshfs 3.7.3-1
sudo 1.9.12.p1-1
sysfsutils 2.1.1-1
systemd 251.8-1
systemd-fsck-silent 239-1
systemd-kcm 1.2.1-5
systemd-sysvcompat 251.8-1
systemsettings 5.26.3-1
tar 1.34-1
terminus-font 4.49.1-2
texinfo 7.0-1
timeshift-autosnap-manjaro 0.10-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
udiskie 2.4.2-1
udisks2 2.9.4-1
unarchiver 1.10.7-7
usb_modeswitch 2.6.1-3
usbutils 015-1
util-linux 2.38.1-1
vi 1:070224-6
vlc 3.0.17.4-11
vulkan-intel 22.2.3-1
vulkan-radeon 22.2.3-1
wget 1.21.3-1
which 2.21-5
wireless-regdb 2022.08.12-1
wpa_supplicant 2:2.10-7
xdg-desktop-portal-kde 5.26.3-1
xdg-user-dirs 0.18-1
xdg-utils 1.1.3+25+g8ae0263-1
xf86-input-elographics 1.4.2-3
xf86-input-evdev 2.10.6-3
xf86-input-libinput 1.2.1-1
xf86-input-void 1.4.2-1
xf86-video-amdgpu 22.0.0-1
xf86-video-ati 1:19.1.0.r15.g7a6a34af-1
xf86-video-intel 1:2.99.917+916+g31486f40-2
xf86-video-nouveau 1.0.17-2
xfsprogs 5.19.0-2
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.4-1
xorg-twm 1.0.12-1
xorg-xinit 1.4.1-3
xorg-xkill 1.0.5-3
xz 5.2.7-1
yakuake 22.08.3-1
yay 11.3.0-1
